STATE,POSTCODE,STEMERG,CLSCHOOL,CLDAYCR,CLNURSHM,STAYHOME,END_STHM,CLBSNS,END_BSNS,RELIGEX,FM_ALL,FMFINE,FMCITE,FMNOENF,FM_EMP,ALCOPEN,GUNOPEN,CLREST,ENDREST,RSTOUTDR,CLGYM,ENDGYM,CLMOVIE,END_MOV,END_HAIR,END_CONST,END_RELG,END_BRS,CLBAR2,CLMV2,CLGYM2,EVICINTN,EVICENF,RNTGP,UTILSO,MORGFR,SNAPALLO,SNAPEBT,SNAPSUSP,MED1135W,ACAENROL,PREVTLHL,TLHLAUD,TLHLMED,RACETEST,RACECASE,RACEHOSP,RACEDEAT,VISITPER,VISITATT,NOCOPAY,NOPAYCOV,NOPAYALL,YESCOPAY,ELECPRCR,ENDELECP,WTPRD,WV_WTPRD,WV_WKSR,UIQUAR,UIHIRISK,UICLDCR,UIEXTND,UIMAXAMT,UIMAXEXT,UIMAXDUR,UIMAXCAR,LMABRN,TLHlBUPR,EXTOPFL,HMDLVOP,TLHLCL24,EXCEMORP,WVDEAREQ,PDSKLV,MEDEXP,POPDEN18,POP18,SQML,HMLS19,UNEMP18,POV18,RISKCOV,DEATH18,Date,Cases_Total,Cases_White,Cases_Black,Cases_LatinX,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other,Cases_Unknown,Cases_Ethnicity_Hispanic,Cases_Ethnicity_NonHispanic,Cases_Ethnicity_Unknown,Deaths_Total,Deaths_White,Deaths_Black,Deaths_LatinX,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Deaths_Ethnicity_Hispanic,Deaths_Ethnicity_NonHispanic,Deaths_Ethnicity_Unknown
Alaska,AK,03/11/2020,03/16/2020,12/31/1899,12/31/1899,03/28/2020,04/24/2020,03/28/2020,04/24/2020,0,12/31/1899,0,0,0,04/24/2020,1,1,03/18/2020,04/24/2020,0,03/18/2020,05/08/2020,03/18/2020,05/08/2020,04/24/2020,12/31/1899,04/24/2020,05/08/2020,12/31/1899,12/31/1899,12/31/1899,03/23/2020,12/31/1899,12/31/1899,04/09/2020,12/31/1899,04/01/2020,06/05/2020,12/31/1899,04/02/2020,12/31/1899,01/01/1900,12/31/1899,03/20/2020,0,1,0,1,03/13/2020,03/13/2020,0,1,0,0,03/19/2020,04/20/2020,0,03/26/2020,1,1,0,1,0,370,970,26,39,1,0,12/31/1899,12/31/1899,0,12/31/1899,12/31/1899,0,1,1.11,"737,438","665,384","1,907",6.8,10.9,33,"4,453",20200628,883,489,23,,60,101,25,32,17,136,57,654,172,14,9,0,,2,2,1,0,0,0,0,14,0
Alabama,AL,03/13/2020,03/19/2020,03/20/2020,03/19/2020,04/04/2020,04/30/2020,03/28/2020,04/30/2020,0,12/31/1899,0,0,0,05/11/2020,1,1,03/19/2020,05/11/2020,0,03/28/2020,05/11/2020,03/28/2020,05/22/2020,05/11/2020,12/31/1899,05/11/2020,05/11/2020,12/31/1899,12/31/1899,12/31/1899,12/31/1899,04/03/2020,12/31/1899,12/31/1899,12/31/1899,03/24/2020,04/21/2020,12/31/1899,03/23/2020,12/31/1899,12/31/1899,03/22/2020,03/16/2020,0,1,0,1,03/14/2020,12/31/1899,0,0,1,0,03/19/2020,04/30/2020,0,03/16/2020,1,1,0,0,0,275,875,26,39,1,0,12/31/1899,12/31/1899,43910,12/31/1899,12/31/1899,0,0,93.24,"4,887,871","52,420","3,261",5.6,16.8,43,"54,352",20200628,35441,12412,13429,,150,,,,2073,7375,3646,22198,9599,919,440,413,,4,,,,14,48,25,782,112
Arkansas,AR,03/11/2020,03/17/2020,12/31/1899,03/13/2020,12/31/1899,12/31/1899,12/31/1899,05/04/2020,0,12/31/1899,0,0,0,05/11/2020,1,1,03/19/2020,05/11/2020,0,03/20/2020,05/04/2020,12/31/1899,05/18/2020,05/06/2020,12/31/1899,05/04/2020,05/26/2020,12/31/1899,12/31/1899,12/31/1899,12/31/1899,12/31/1899,12/31/1899,04/10/2020,12/31/1899,03/24/2020,05/21/2020,12/31/1899,04/02/2020,12/31/1899,12/31/1899,03/13/2020,03/13/2020,0,1,0,1,03/16/2020,03/16/2020,0,1,0,0,04/03/2020,04/27/2020,0,03/17/2020,1,1,0,0,0,451,1051,20,33,1,0,12/31/1899,12/31/1899,0,12/31/1899,12/31/1899,0,1,56.67,"3,013,825","53,179","2,717",4.5,17.2,44,"32,336",20200628,19818,9148,4476,,224,50,1378,,2698,1844,4817,15001,0,264,139,67,,2,,24,,19,,21,230,13
Arizona,AZ,03/11/2020,03/16/2020,12/31/1899,12/31/1899,03/31/2020,05/16/2020,03/30/2020,05/08/2020,1,12/31/1899,0,0,0,05/08/2020,1,1,03/20/2020,05/11/2020,0,03/20/2020,05/13/2020,03/20/2020,05/16/2020,05/08/2020,12/31/1899,12/31/1899,05/16/2020,06/29/2020,06/29/2020,06/29/2020,12/31/1899,03/24/2020,12/31/1899,12/31/1899,12/31/1899,04/01/2020,04/17/2020,12/31/1899,03/23/2020,12/31/1899,12/31/1899,03/25/2020,03/25/2020,0,1,1,1,03/13/2020,03/13/2020,0,1,0,0,03/21/2020,05/01/2020,0,03/18/2020,1,1,0,1,0,240,840,26,39,0,0,12/31/1899,12/31/1899,0,03/11/2020,12/31/1899,1,1,62.91,"7,171,646","113,990","10,007",5.4,14,39,"59,282",20200628,73908,11819,1681,18115,547,6132,,,1409,34205,18115,21588,34205,1588,691,46,339,17,283,,,33,179,339,1070,179
California,CA,03/04/2020,12/31/1899,12/31/1899,12/31/1899,03/19/2020,12/31/1899,03/19/2020,05/08/2020,0,06/18/2020,0,0,1,05/05/2020,1,0,03/19/2020,12/31/1899,0,03/19/2020,12/31/1899,03/19/2020,12/31/1899,12/31/1899,04/28/2020,06/12/2020,12/31/1899,12/31/1899,12/31/1899,12/31/1899,03/27/2020,12/31/1899,12/31/1899,04/02/2020,12/31/1899,03/30/2020,04/23/2020,12/31/1899,03/23/2020,03/20/2020,12/31/1899,03/30/2020,03/18/2020,0,1,0,1,03/11/2020,04/08/2020,1,0,0,0,03/19/2020,04/22/2020,0,03/12/2020,1,1,0,0,0,450,1050,26,39,0,0,12/31/1899,12/31/1899,0,12/31/1899,12/31/1899,1,1,241.65,"39,557,045","163,695","151,278",5.5,12.8,33,"268,818",20200628,211243,24242,6309,80875,9724,266,900,1019,19484,68424,80875,61944,68424,5905,1868,533,2348,831,18,22,34,57,194,2348,3363,194
Colorado,CO,03/11/2020,03/23/2020,12/31/1899,03/12/2020,03/26/2020,04/27/2020,03/26/2020,05/01/2020,1,12/31/1899,0,0,0,04/23/2020,1,1,03/17/2020,05/27/2020,0,03/17/2020,06/04/2020,03/17/2020,06/18/2020,05/01/2020,12/31/1899,04/26/2020,06/18/2020,12/31/1899,12/31/1899,12/31/1899,12/31/1899,12/31/1899,12/31/1899,03/20/2020,12/31/1899,04/01/2020,05/16/2020,04/10/2020,03/26/2020,03/20/2020,12/31/1899,04/01/2020,03/20/2020,0,1,0,1,03/11/2020,12/31/1899,0,1,0,0,03/23/2020,04/27/2020,0,03/20/2020,0,0,0,0,0,618,1218,26,39,0,0,12/31/1899,12/31/1899,0,12/31/1899,12/31/1899,0,1,54.72,"5,695,564","104,094","9,619",3.9,9.6,31,"38,526",20200628,32307,11090,1747,12212,794,174,125,326,271,5556,12212,14527,5556,1676,1049,108,355,56,8,6,20,7,63,355,1254,63
Connecticut,CT,03/10/2020,03/17/2020,12/31/1899,03/09/2020,12/31/1899,12/31/1899,03/23/2020,05/20/2020,0,04/20/2020,0,0,1,04/03/2020,1,1,03/16/2020,05/20/2020,1,03/16/2020,06/17/2020,03/16/2020,06/17/2020,06/01/2020,12/31/1899,05/29/2020,12/31/1899,12/31/1899,12/31/1899,12/31/1899,04/10/2020,03/20/2020,04/10/2020,03/12/2020,12/31/1899,03/28/2020,04/24/2020,04/02/2020,03/27/2020,03/19/2020,12/31/1899,03/19/2020,03/18/2020,0,1,0,1,03/13/2020,12/31/1899,0,0,1,0,12/31/1899,12/31/1899,1,12/31/1899,1,0,0,1,0,649,1249,26,39,0,0,12/31/1899,12/31/1899,0,12/31/1899,12/31/1899,1,1,644.54,"3,572,665","5,543","3,033",5.5,10.4,36,"31,230",20200628,46303,16121,6053,8701,670,,,,254,14333,8701,16121,14333,4316,3151,642,373,45,,,,15,62,373,3151,62
District of Columbia,DC,03/11/2020,03/16/2020,12/31/1899,12/31/1899,04/01/2020,05/29/2020,03/25/2020,05/29/2020,0,04/15/2020,1,0,0,04/15/2020,1,0,03/16/2020,05/29/2020,1,03/17/2020,06/22/2020,03/17/2020,06/22/2020,05/29/2020,12/31/1899,06/22/2020,05/29/2020,12/31/1899,12/31/1899,12/31/1899,12/31/1899,03/15/2020,12/31/1899,03/17/2020,12/31/1899,04/01/2020,05/19/2020,12/31/1899,04/03/2020,04/06/2020,12/31/1899,03/19/2020,03/12/2020,0,1,0,1,03/15/2020,03/15/2020,1,0,0,0,12/31/1899,12/31/1899,0,12/31/1899,1,1,0,0,0,444,1044,26,39,0,0,12/31/1899,12/31/1899,0,12/31/1899,12/31/1899,1,1,"11,496.81","702,455",61,"6,521",7.5,16.2,32,"5,008",20200628,10248,2103,5117,,163,26,29,,2593,217,2953,6140,1155,550,60,404,73,8,,,,5,0,73,477,0
Delaware,DE,03/13/2020,03/16/2020,04/06/2020,12/31/1899,03/24/2020,06/01/2020,03/24/2020,05/08/2020,1,04/28/2020,0,1,0,05/01/2020,1,1,03/16/2020,06/01/2020,0,03/19/2020,06/01/2020,03/19/2020,06/01/2020,06/08/2020,12/31/1899,05/20/2020,06/15/2020,12/31/1899,12/31/1899,12/31/1899,03/24/2020,03/24/2020,12/31/1899,03/24/2020,12/31/1899,03/26/2020,04/30/2020,04/13/2020,03/27/2020,12/31/1899,01/01/1900,12/31/1899,03/18/2020,1,1,0,1,03/12/2020,12/31/1899,0,1,0,0,12/31/1899,12/31/1899,1,12/31/1899,1,1,1,1,1,400,1000,26,39,0,0,12/31/1899,12/31/1899,0,12/31/1899,12/31/1899,0,1,388.58,"967,171","2,489",921,5.7,12.5,41,"9,433",20200628,11226,3353,2970,3177,167,,,,548,1011,3177,7038,1011,507,318,130,31,1,,,,6,21,31,455,21
Florida,FL,03/09/2020,03/17/2020,12/31/1899,03/15/2020,04/03/2020,05/18/2020,12/31/1899,05/18/2020,1,12/31/1899,0,0,0,05/11/2020,1,1,03/20/2020,05/18/2020,0,03/20/2020,05/18/2020,03/20/2020,12/31/1899,05/11/2020,12/31/1899,12/31/1899,12/31/1899,06/26/2020,12/31/1899,12/31/1899,04/02/2020,04/02/2020,12/31/1899,12/31/1899,12/31/1899,03/30/2020,05/27/2020,12/31/1899,03/16/2020,12/31/1899,12/31/1899,12/31/1899,03/18/2020,0,1,1,1,03/11/2020,12/31/1899,0,1,0,0,03/20/2020,05/08/2020,0,03/31/2020,1,1,0,0,0,275,875,12,25,0,0,12/31/1899,12/31/1899,0,12/31/1899,12/31/1899,0,0,323.90,"21,299,325","65,758","28,328",5.2,13.6,42,"205,426",20200628,141075,31471,21819,42643,,,,,5240,39902,42643,51226,47206,3419,1653,707,854,,,,,106,99,854,2343,222
